indicator,stage
"[0.000285672804, 0.2446277, 0.11070044, 0.03749168, 0.05910253, 0.18429149, 0.06055273, 0.0, 0.05879314]",
"[0.000285672804, 0.2446277, 0.11070044, 0.03749168, 0.05910253, 0.18429149, 0.06055273, 0.0, 0.05879314]",
"[0.000514211047, 0.14677662, 0.12250849, 0.03349257, 0.05362055, 0.2541041, 0.10576544, 0.0, 0.14179523]",
"[0.000754176202, 0.21815035, 0.22294635, 0.21260579, 0.2403785, 0.05183127, 0.15827297, 0.0, 0.16425462]",
"[0.00209798107, 0.10715379, 0.21962422, 0.07794927, 0.25377156, 0.18426, 0.17187333, 0.08200845, 0.25708985]",
"[0.0033686537, 0.06209295, 0.21860416, 0.122082, 0.18751477, 0.25524314, 0.18273958, 0.09943652, 0.19681685]",
"[0.00154921504, 0.11977024, 0.16349375, 0.02125922, 0.1670537, 0.10158125, 0.17328962, 0.25400446, 0.19000058]",
"[0.0023018189, 0.24515162, 0.2780919, 0.20692851, 0.65792325, 0.15024168, 0.17238574, 0.15073577, 0.3517553]",
"[0.00542952382, 0.16129321, 0.20681626, 0.09444791, 0.16018778, 0.3305566, 0.19791919, 0.00902092, 0.37524684]",
"[0.00278820532, 0.18521773, 0.16381285, 0.19348113, 0.63380317, 0.2020439, 0.14669205, -0.05886809, 0.08144959]",
"[0.00614305385, 0.19559838, 0.1513247, 0.23213713, 0.21170197, 0.18509624, 0.15787262, 0.09249726, 0.13934579]",
"[0.00813913779, 0.1582004, 0.20945458, 0.06568931, -0.05320832, 0.22884836, 0.15429311, 0.20299097, 0.1923021]",
"[0.00428974712, 0.23977619, 0.18320648, 0.15333361, 0.13119374, 0.12249908, 0.1832356, -0.05531565, 0.20282252]",
"[0.00616678261, 0.22167964, 0.18965619, 0.30887594, 0.21745936, 0.1589379, 0.18223258, -0.03461161, 0.1658014]",
"[0.0104425115, 0.12422639, 0.2451566, 0.13692846, 0.06826319, 0.26589044, 0.23603905, 0.44943939, 0.29079919]",
"[0.00943810496, 0.288009, 0.17020276, 0.40148028, 0.2074825, 0.22932959, 0.2351517, -0.06245015, 0.21787734]",
"[0.00829396757, 0.27234488, 0.14530047, 0.35626684, 0.16779976, 0.17734409, 0.2082463, -0.06277712, 0.18423429]",
"[0.0102761404, 0.16533792, 0.16158714, 0.22912967, 0.04344132, 0.26901063, 0.27086809, -0.02261284, 0.18895812]",
"[0.00593838386, 0.32124172, 0.14531387, 0.31987408, 0.17537797, 0.14917651, 0.23759855, 0.05610095, 0.18180135]",
"[0.0100888425, 0.19487442, 0.14468529, 0.17473024, 0.05316712, 0.26596161, 0.25456461, -0.00104516, 0.25137522]",
"[0.0105055991, 0.21045727, 0.15843801, 0.17812098, 0.08393061, 0.16318067, 0.23651225, -0.00909883, 0.20255954]",
"[0.00954642274, 0.22593123, 0.14419813, 0.13374957, 0.11716955, 0.16356305, 0.22109071, 0.01322995, 0.14113638]",
"[0.0138539697, 0.21363673, 0.14961502, 0.28397848, 0.06494078, 0.1966599, 0.25051044, 0.07852211, 0.20693759]",
"[0.0162895434, 0.16415724, 0.16115842, 0.25954259, 0.08606842, 0.18933119, 0.13048371, 0.01069681, 0.2345093]",
"[0.0720092108, 0.06539356, 0.12813542, 0.09456558, 0.09792545, 0.11235407, 0.09761328, 0.18819903, 0.06182342]",
"[0.208720168, 0.05101934, 0.16623347, 0.08650455, 0.05871333, 0.11376221, 0.13980152, 0.36176793, 0.09299691]",
"[0.329668676, 0.07491161, 0.21240077, 0.12435767, 0.03569362, 0.10622757, 0.13677671, 0.392802, 0.07727992]",
"[0.454396332, 0.07962968, 0.21544864, 0.1466595, 0.01680944, 0.10563933, 0.13919501, 0.45110228, 0.08207007]",
"[0.506259893, 0.07555135, 0.20418803, 0.14253726, 0.01180513, 0.10221368, 0.14674312, 0.45938811, 0.08679411]",
"[0.459842383, 0.08961092, 0.19619983, 0.12581754, 0.00702032, 0.09544691, 0.1614043, 0.38653984, 0.07448833]",
"[0.486051176, 0.09409616, 0.19094189, 0.08024665, 0.00278981, 0.07500293, 0.16895844, 0.3043293, 0.05268873]",
"[0.499008447, 0.10036883, 0.20489225, 0.07645288, -0.00111924, 0.06024146, 0.18290951, 0.18866558, 0.04773165]",
"[0.521715472, 0.10486589, 0.20909416, 0.06180699, -0.00713317, 0.04705577, 0.19278159, 0.12193511, 0.03784282]",
"[0.544422498, 0.10936296, 0.21329606, 0.0471611, -0.0131471, 0.03387007, 0.20265367, 0.05520463, 0.027954]",
"[0.567129523, 0.11386002, 0.21749797, 0.0325152, -0.01916104, 0.02068437, 0.21252576, -0.01152584, 0.01806517]",
"[0.589836548, 0.11835709, 0.22169988, 0.01786931, -0.02517497, 0.00749867, 0.22239784, -0.07825632, 0.00817634]",
